name,streamId,game
OverwatchLeague,137512364,Overwatch
PlayOverwatch,59980349,Overwatch
Emongg,23220337,Overwatch
ESL_CSGO,31239503,Counter-Strike%3A+Global+Offensive
shroud,37402112,Apex+Legends
Ninja,19571641,Fortnite
STPeach,100484450,Just+Chatting
TimTheTatman,36769016,Variety
OverwatchContenders,156567621,Overwatch
DrDisrespect,17337557,Apex+Legends
Tfue,60056333,Fortnite
OMGitsfirefoxx,47176475,Just+Chatting
DrLupo,29829912,Variety
Dyrus,30080751,Dota+2
Gale_Adelade,115467657,Overwatch
JoshOG,54706574,Apex+Legends
TSM_Myth,110690086,Fortnite
coscu,36473331,Just+Chatting
pokimane,44445592,Variety
Amaz,43356746,Dota+2
nl_Kripp,29795919,Hearthstone
ungespielt,36983084,World+of+Warcraft
Mithrain,79442833,PLAYERUNKNOWN%27S+BATTLEGROUNDS
Rainbow6,65171890,Tom+Clancy%27s+Rainbow+Six%3A+Siege
Castro_1021,52091823,FIFA+19
GoldGlove,1518077,Apex+Legends
dakotaz,39298218,Fortnite
Greekgodx,15310631,Just+Chatting
LIRIK,23161357,Variety
TrumpSC,14836307,Dota+2
Reckful,9072112,Hearthstone
Asmongold,26261471,World+of+Warcraft
chocoTaco,69906737,PLAYERUNKNOWN%27S+BATTLEGROUNDS
MacieJay,122320848,Tom+Clancy%27s+Rainbow+Six%3A+Siege
Nick28T,49303276,FIFA+19
Syndicate,16764225,Call+of+Duty%3A+Black+Ops+4
StarCraft,42508152,StarCraft+II
KingRichard,66691674,Apex+Legends
TSM_Daequan,127651530,Fortnite
Sharishaxd,99246707,Just+Chatting
sodapoppin,26301881,Variety
BeyondTheSummit,29578325,Dota+2
B0aty,27107346,Old+School+RuneScape
CaptainSparklez,15554591,Minecraft
VGBootCamp,9846758,Super+Smash+Bros.+Ultimate
summit1g,26490481,Sea+of+Thieves
PlayHearthstone,42776357,Hearthstone
Warcraft,37516578,World+of+Warcraft
playBATTLEGROUNDS,127506955,PLAYERUNKNOWN%27S+BATTLEGROUNDS
Pengu,85956078,Tom+Clancy%27s+Rainbow+Six%3A+Siege
EASPORTSFIFA,28029009,FIFA+19
ESL_SC2,30220059,StarCraft+II
Trick2g,28036688,Apex+Legends
NICKMERCS,15564828,Fortnite
kaceytron,30281925,Just+Chatting
alanzoka,38244180,Variety
Dendi,39176440,Dota+2
SparcMac,41244221,Old+School+RuneScape
SovietWomble,67802451,Minecraft
ZeRo,28211644,Super+Smash+Bros.+Ultimate
CDNThe3rd,14408894,Sea+of+Thieves
Monstercat,27446517,Music+%26+Performing+Arts
Thijs,57025612,Hearthstone
Swifty,23524577,World+of+Warcraft
Tecnosh,36772976,PLAYERUNKNOWN%27S+BATTLEGROUNDS
KingGeorgeTV,117379932,Tom+Clancy%27s+Rainbow+Six%3A+Siege
Nepenthez,17061121,FIFA+19
wintergaming,25766032,StarCraft+II
IzakOOO,36717908,Apex+Legends
SypherPK,32140000,Fortnite
GLADIATORPWNZ,54740008,Just+Chatting
Gotaga,24147592,Variety
itsHafu,30777889,Dota+2
Towelliee,20694610,Anthem
MmorpgRS,41684297,Old+School+RuneScape
Bacon_Donut,36155872,Minecraft
Sky_mp3,38876314,Super+Smash+Bros.+Ultimate
YummiGaming,71380470,Sea+of+Thieves
jonathan_reed998,186218533,Music+%26+Performing+Arts
Kolento,29107421,Hearthstone
Bajheera,22916751,World+of+Warcraft
Rammus53,73004952,PLAYERUNKNOWN%27S+BATTLEGROUNDS
NarcolepticNugget,93641995,Tom+Clancy%27s+Rainbow+Six%3A+Siege
Matthdgamer,12492867,FIFA+19
TaKeTV,30186974,StarCraft+II
Nadeshot,21130533,Apex+Legends
Fortnite,55125740,Fortnite
JesusAVGN,34711476,Just+Chatting
AdmiralBulldog,30816637,Dota+2
StreamerHouse,44741426,Anthem
Faux,40980097,Old+School+RuneScape
alexelcapo,36138196,Minecraft
mang0,26551727,Super+Smash+Bros.+Ultimate
bbxh,120475981,Sea+of+Thieves
The8BitDrummer,63321379,Music+%26+Performing+Arts
SilverName,70075625,Hearthstone
Sco,12665,World+of+Warcraft
OGNEsports,32179353,PLAYERUNKNOWN%27S+BATTLEGROUNDS
ziGueira,32171655,Tom+Clancy%27s+Rainbow+Six%3A+Siege
FaNg_I3aNGeR,25877830,FIFA+19
LAGTVMaximusBlack,23945610,StarCraft+II
A_Seagull,19070311,Apex+Legends
TSM_Hamlinz,67143805,Fortnite
Frankkaster,61504845,Just+Chatting
Starladder1,28633177,Dota+2
LacedUpLauren,37524427,Anthem
Mr_Mammal,44858482,Old+School+RuneScape
ElRichMC,30651868,Minecraft
leffen,53831525,Super+Smash+Bros.+Ultimate
Vaecon,32061771,Sea+of+Thieves
pianoimproman,97299344,Music+%26+Performing+Arts
bmkibler,25871845,Hearthstone
Hotted89,20260659,World+of+Warcraft
SkizzTv,123914980,PLAYERUNKNOWN%27S+BATTLEGROUNDS
KiXSTAR,40035700,Tom+Clancy%27s+Rainbow+Six%3A+Siege
BruceGrannec,31813025,FIFA+19
GSL,52229024,StarCraft+II
Grimmmz,9679595,Apex+Legends
LOLITOFDEZ,57793021,Fortnite
Sweet_Anita,217377982,Just+Chatting
Arteezy,23364603,Dota+2
ster,23257020,Anthem
SkillSpecs,27802484,Old+School+RuneScape
BastiGHG,38121996,Minecraft
NairoMK,75502413,Super+Smash+Bros.+Ultimate
RequiemSlaps,191862954,Sea+of+Thieves
lara6683,80352893,Music+%26+Performing+Arts
cdewx,24666044,World+of+Warcraft
wasuezqelusia,114791948,PLAYERUNKNOWN%27S+BATTLEGROUNDS
THERUSSIANBADGER,22578309,Tom+Clancy%27s+Rainbow+Six%3A+Siege
Aa9skillz,20993498,FIFA+19
BASETRADETV,36619478,StarCraft+II
reynad27,27396889,Dota+2
Dethridge,37530941,Anthem
Alfie,24138907,Old+School+RuneScape
SparkofPhoenixTV,36464115,Minecraft
shofu,4073179,Super+Smash+Bros.+Ultimate
rawb,24019930,Sea+of+Thieves
RelaxBeats,153859298,Music+%26+Performing+Arts
missypwns,61974931,World+of+Warcraft
Rainbow6BR,132106826,Tom+Clancy%27s+Rainbow+Six%3A+Siege
CapgunTom,24253450,FIFA+19
LowkoTV,39317849,StarCraft+II
Nyxeira,49720168,Anthem
MogTime,41546661,Old+School+RuneScape
Wyld,36972151,Minecraft
Mew2King,2601579,Super+Smash+Bros.+Ultimate
Pace22,31457014,Sea+of+Thieves
a_couple_streams,83828553,Music+%26+Performing+Arts
Pamcakes,4536816,World+of+Warcraft
TSM_SmaK,30782393,Tom+Clancy%27s+Rainbow+Six%3A+Siege
DjMaRiiO,1895664,FIFA+19
iNcontroLTV,20248706,StarCraft+II
SchviftyFive,88436114,Anthem
WooxSolo,50297139,Old+School+RuneScape
JonBams,28252159,Minecraft
alpharadtv,75508096,Super+Smash+Bros.+Ultimate
angrysausagetv,118200982,Sea+of+Thieves
ArKaDaTaEditing,37324637,Music+%26+Performing+Arts
RotterdaM08,22365608,StarCraft+II
TeftyTeft,77309670,Anthem
Emma,30274426,Old+School+RuneScape
ChocoboChoco,40755724,Minecraft
OGamingTV,27528066,Super+Smash+Bros.+Ultimate
BeardedGuysGaming,119777929,Sea+of+Thieves
FrenchStallion,28276981,Music+%26+Performing+Arts
TheBlackHokage,51898091,Anthem
kylelandrypiano,36790434,Music+%26+Performing+Arts
ZeroxMercy,46002516,Anthem
